store_id,month,category,revenue,transaction_count,units_sold
1001,2024-08,Grocery,743746.45,8808,36857
1001,2024-08,Fresh Produce,325628.53,3431,14936
1001,2024-08,Meat & Seafood,523281.46,6888,25078
1001,2024-08,Bakery,195699.78,2308,9668
1001,2024-08,Frozen Foods,308536.87,4225,15520
1001,2024-08,Beverages,382491.29,4688,14307
1001,2024-08,Household,437524.27,4883,12360
1001,2024-08,Electronics,234570.63,2382,7353
1001,2024-08,Health & Beauty,199183.92,2502,9287
1001,2024-08,Home & Garden,123098.66,1534,6642
1001,2024-08,Apparel,113236.44,1487,4001
1001,2024-08,Gas Station,234953.22,4634,17756
1002,2024-08,Grocery,817642.0,7652,34001
1002,2024-08,Fresh Produce,400674.45,4934,14663
1002,2024-08,Meat & Seafood,591502.54,6530,22062
1002,2024-08,Bakery,201389.0,2404,8295
1002,2024-08,Frozen Foods,315149.51,4372,12148
1002,2024-08,Beverages,407686.66,5214,15152
1002,2024-08,Household,529790.1,6317,24570
1002,2024-08,Electronics,277596.01,3361,10389
1002,2024-08,Health & Beauty,206972.59,2409,7074
1002,2024-08,Home & Garden,120722.89,1556,4899
1002,2024-08,Apparel,117608.95,1338,5771
1002,2024-08,Gas Station,217991.77,5255,13142
1003,2024-08,Grocery,591508.93,6249,17680
1003,2024-08,Fresh Produce,284524.68,4332,16829
1003,2024-08,Meat & Seafood,435988.69,4710,13360
1003,2024-08,Bakery,160965.43,1617,5348
1003,2024-08,Frozen Foods,253525.65,2974,8903
1003,2024-08,Beverages,334385.51,4329,12104
1003,2024-08,Household,379358.05,4616,11845
1003,2024-08,Electronics,229002.74,2309,8915
1003,2024-08,Health & Beauty,138764.1,1874,6757
1003,2024-08,Home & Garden,97618.92,1167,3780
1003,2024-08,Apparel,98608.29,1088,3743
1003,2024-08,Gas Station,181948.75,4131,17072
1004,2024-08,Grocery,1075550.75,15100,63672
1004,2024-08,Fresh Produce,508733.65,5328,20898
1004,2024-08,Meat & Seafood,734095.22,8173,22004
1004,2024-08,Bakery,278365.58,3227,11409
1004,2024-08,Frozen Foods,435261.31,5367,21309
1004,2024-08,Beverages,552242.99,6630,25801
1004,2024-08,Household,587641.18,6480,28928
1004,2024-08,Electronics,349524.41,3408,15310
1004,2024-08,Health & Beauty,265466.95,3142,13401
1004,2024-08,Home & Garden,173129.94,1914,7465
1004,2024-08,Apparel,151635.65,1803,5966
1004,2024-08,Gas Station,305086.46,7358,23873
1005,2024-08,Grocery,668068.73,6999,24295
1005,2024-08,Fresh Produce,339831.81,3991,11381
1005,2024-08,Meat & Seafood,505813.66,5722,16351
1005,2024-08,Bakery,187470.28,2043,8053
1005,2024-08,Frozen Foods,286952.0,2739,9634
1005,2024-08,Beverages,328181.17,4139,15230
1005,2024-08,Household,421372.53,5162,22259
1005,2024-08,Electronics,215783.05,2323,8804
1005,2024-08,Health & Beauty,183139.54,2239,6628
1005,2024-08,Home & Garden,128080.29,1502,6063
1005,2024-08,Apparel,96005.4,1102,4702
1005,2024-08,Gas Station,208145.88,3726,13579
1006,2024-08,Grocery,708270.18,8239,26738
1006,2024-08,Fresh Produce,319782.01,4174,18198
1006,2024-08,Meat & Seafood,516826.94,5382,16190
1006,2024-08,Bakery,195195.82,2060,8646
1006,2024-08,Frozen Foods,274749.71,3367,12140
1006,2024-08,Beverages,351739.0,3862,11633
1006,2024-08,Household,400981.41,4371,10972
1006,2024-08,Electronics,250644.4,2599,6866
1006,2024-08,Health & Beauty,187031.87,2078,8879
1006,2024-08,Home & Garden,116063.36,1374,4639
1006,2024-08,Apparel,107267.11,1110,3119
1006,2024-08,Gas Station,222499.87,4740,12218
1007,2024-08,Grocery,843646.26,8058,25409
1007,2024-08,Fresh Produce,387130.19,4908,21744
1007,2024-08,Meat & Seafood,632969.8,7334,21186
1007,2024-08,Bakery,224478.99,2445,6789
1007,2024-08,Frozen Foods,309898.46,2920,11645
1007,2024-08,Beverages,399293.92,4425,11778
1007,2024-08,Household,541672.18,5940,15541
1007,2024-08,Electronics,280217.87,3570,10637
1007,2024-08,Health & Beauty,209144.19,2602,9193
1007,2024-08,Home & Garden,127409.91,1787,7076
1007,2024-08,Apparel,124881.65,1382,3893
1007,2024-08,Gas Station,234280.74,4781,12830
1008,2024-08,Grocery,820950.87,9127,31299
1008,2024-08,Fresh Produce,428609.9,4830,21243
1008,2024-08,Meat & Seafood,613732.68,6986,17678
1008,2024-08,Bakery,217179.76,2555,9143
1008,2024-08,Frozen Foods,351404.04,4536,19902
1008,2024-08,Beverages,455942.81,5992,23095
1008,2024-08,Household,521403.89,5499,22669
1008,2024-08,Electronics,290754.74,3573,14795
1008,2024-08,Health & Beauty,223651.72,2329,7098
1008,2024-08,Home & Garden,139446.8,1551,3998
1008,2024-08,Apparel,118930.76,1183,4508
1008,2024-08,Gas Station,256964.03,6598,20989
1009,2024-08,Grocery,781764.17,7618,29601
1009,2024-08,Fresh Produce,385728.4,4454,11484
1009,2024-08,Meat & Seafood,576315.74,6726,24186
1009,2024-08,Bakery,212143.0,2027,7402
1009,2024-08,Frozen Foods,303517.45,3707,11121
1009,2024-08,Beverages,411865.08,4956,17959
1009,2024-08,Household,487680.78,5099,20293
1009,2024-08,Electronics,257835.28,2626,9371
1009,2024-08,Health & Beauty,171679.05,2004,6202
1009,2024-08,Home & Garden,127715.63,1483,5714
1009,2024-08,Apparel,109550.01,855,2279
1009,2024-08,Gas Station,227349.29,4645,16756
1010,2024-08,Grocery,785399.52,9539,37313
1010,2024-08,Fresh Produce,403539.94,4790,20007
1010,2024-08,Meat & Seafood,560835.58,5648,18600
1010,2024-08,Bakery,190213.84,1883,6896
1010,2024-08,Frozen Foods,311517.59,3771,13891
1010,2024-08,Beverages,384233.85,5120,17732
1010,2024-08,Household,443227.24,5985,17939
1010,2024-08,Electronics,252150.13,2751,8273
1010,2024-08,Health & Beauty,175743.66,2366,9421
1010,2024-08,Home & Garden,112233.12,1405,5603
1010,2024-08,Apparel,119478.01,1250,4125
1010,2024-08,Gas Station,231514.6,4709,16748
1011,2024-08,Grocery,870415.2,9946,44317
1011,2024-08,Fresh Produce,354117.29,4415,11420
1011,2024-08,Meat & Seafood,611580.97,6427,17037
1011,2024-08,Bakery,198952.67,2210,6826
1011,2024-08,Frozen Foods,349436.53,3822,16551
1011,2024-08,Beverages,389679.87,4476,14194
1011,2024-08,Household,500338.57,5273,17277
1011,2024-08,Electronics,266626.37,2862,9217
1011,2024-08,Health & Beauty,200465.64,1966,5042
1011,2024-08,Home & Garden,126198.79,1247,4620
1011,2024-08,Apparel,118305.4,1335,3540
1011,2024-08,Gas Station,232885.57,5511,20183
1012,2024-08,Grocery,880905.6,10042,40722
1012,2024-08,Fresh Produce,378475.76,4604,14979
1012,2024-08,Meat & Seafood,602567.21,6652,27661
1012,2024-08,Bakery,224403.57,2456,6320
1012,2024-08,Frozen Foods,336830.44,4049,14449
1012,2024-08,Beverages,408596.6,4960,18204
1012,2024-08,Household,507341.48,6520,21227
1012,2024-08,Electronics,296314.5,3228,9693
1012,2024-08,Health & Beauty,202572.35,2175,9257
1012,2024-08,Home & Garden,129500.4,993,4133
1012,2024-08,Apparel,123936.4,1594,7070
1012,2024-08,Gas Station,233920.35,4905,16387
1013,2024-08,Grocery,1069688.81,14110,57993
1013,2024-08,Fresh Produce,504468.09,6411,28598
1013,2024-08,Meat & Seafood,808204.14,10719,38691
1013,2024-08,Bakery,262974.02,2953,10615
1013,2024-08,Frozen Foods,433533.68,5047,15625
1013,2024-08,Beverages,568922.92,6845,28016
1013,2024-08,Household,661086.44,7665,30950
1013,2024-08,Electronics,326308.79,4301,12551
1013,2024-08,Health & Beauty,236087.38,3031,10834
1013,2024-08,Home & Garden,185679.4,1943,6413
1013,2024-08,Apparel,148752.28,1848,7194
1013,2024-08,Gas Station,313559.28,6804,24021
1014,2024-08,Grocery,863092.36,10779,34386
1014,2024-08,Fresh Produce,396337.66,4552,16375
1014,2024-08,Meat & Seafood,608305.96,5620,24101
1014,2024-08,Bakery,217469.14,2462,7738
1014,2024-08,Frozen Foods,325363.06,3811,14769
1014,2024-08,Beverages,404977.07,4180,13604
1014,2024-08,Household,509934.91,6108,27318
1014,2024-08,Electronics,277185.0,3521,10465
1014,2024-08,Health & Beauty,212762.73,2551,10053
1014,2024-08,Home & Garden,146536.35,1792,7506
1014,2024-08,Apparel,122228.47,1386,4565
1014,2024-08,Gas Station,254831.17,5829,16697
1015,2024-08,Grocery,911323.57,10960,29355
1015,2024-08,Fresh Produce,380662.49,4570,14559
1015,2024-08,Meat & Seafood,551913.37,6239,23693
1015,2024-08,Bakery,242708.72,2677,10637
1015,2024-08,Frozen Foods,379924.2,5091,18474
1015,2024-08,Beverages,397328.32,4143,17811
1015,2024-08,Household,479577.64,5978,20902
1015,2024-08,Electronics,299716.14,3457,8694
1015,2024-08,Health & Beauty,208405.33,2143,7448
1015,2024-08,Home & Garden,143113.51,1708,4288
1015,2024-08,Apparel,128967.47,1585,6254
1015,2024-08,Gas Station,254299.03,6121,21852
1016,2024-08,Grocery,1032404.41,11041,43860
1016,2024-08,Fresh Produce,513580.06,7158,28886
1016,2024-08,Meat & Seafood,756459.64,8911,38887
1016,2024-08,Bakery,247863.04,3173,10275
1016,2024-08,Frozen Foods,379801.02,5391,19395
1016,2024-08,Beverages,468010.01,5851,15655
1016,2024-08,Household,590612.34,6898,25606
1016,2024-08,Electronics,334482.9,3851,16179
1016,2024-08,Health & Beauty,261280.3,2901,12665
1016,2024-08,Home & Garden,178379.98,2238,8824
1016,2024-08,Apparel,154056.24,1908,7821
1016,2024-08,Gas Station,308473.47,6551,19465
1017,2024-08,Grocery,658989.32,7941,24874
1017,2024-08,Fresh Produce,331060.23,4216,14350
1017,2024-08,Meat & Seafood,470129.99,5694,21342
1017,2024-08,Bakery,140373.89,1900,6944
1017,2024-08,Frozen Foods,238778.54,2355,8392
1017,2024-08,Beverages,281340.13,3784,11978
1017,2024-08,Household,398706.71,5202,14739
1017,2024-08,Electronics,215899.78,2807,11180
1017,2024-08,Health & Beauty,165428.71,2142,8690
1017,2024-08,Home & Garden,99874.74,1125,4419
1017,2024-08,Apparel,103136.1,1208,3268
1017,2024-08,Gas Station,162174.83,3847,13133
1018,2024-08,Grocery,1103452.31,11659,38683
1018,2024-08,Fresh Produce,540730.21,7207,28340
1018,2024-08,Meat & Seafood,776609.95,10216,45135
1018,2024-08,Bakery,249539.92,2589,8665
1018,2024-08,Frozen Foods,378898.15,4820,20840
1018,2024-08,Beverages,453498.28,5798,21370
1018,2024-08,Household,560808.8,7392,24015
1018,2024-08,Electronics,344612.95,3799,10913
1018,2024-08,Health & Beauty,239077.41,2679,8366
1018,2024-08,Home & Garden,164363.09,2037,6637
1018,2024-08,Apparel,137097.15,1484,6048
1018,2024-08,Gas Station,291236.44,5879,19571
1019,2024-08,Grocery,715127.43,6070,26325
1019,2024-08,Fresh Produce,363961.34,4317,18673
1019,2024-08,Meat & Seafood,571489.94,5694,16119
1019,2024-08,Bakery,186899.31,2398,7050
1019,2024-08,Frozen Foods,311395.06,3119,13882
1019,2024-08,Beverages,431859.38,4252,17948
1019,2024-08,Household,434104.19,5183,16063
1019,2024-08,Electronics,252171.9,2488,8343
1019,2024-08,Health & Beauty,188364.32,2466,8474
1019,2024-08,Home & Garden,115177.48,1553,6480
1019,2024-08,Apparel,106716.69,1343,5275
1019,2024-08,Gas Station,250026.83,6639,22985
1020,2024-08,Grocery,852736.38,9732,25799
1020,2024-08,Fresh Produce,395017.94,4262,18304
1020,2024-08,Meat & Seafood,642839.11,8632,38480
1020,2024-08,Bakery,214709.41,2834,8524
1020,2024-08,Frozen Foods,304284.75,3588,13240
1020,2024-08,Beverages,396646.57,5045,21566
1020,2024-08,Household,463945.58,6395,26287
1020,2024-08,Electronics,296588.67,3493,14369
1020,2024-08,Health & Beauty,214032.18,2448,7706
1020,2024-08,Home & Garden,129339.37,1556,6180
1020,2024-08,Apparel,123442.04,1500,5861
1020,2024-08,Gas Station,256055.84,5819,18456
1021,2024-08,Grocery,1012280.79,13205,33916
1021,2024-08,Fresh Produce,485471.61,6291,25463
1021,2024-08,Meat & Seafood,781365.08,8860,26039
1021,2024-08,Bakery,261163.26,2772,12392
1021,2024-08,Frozen Foods,386765.67,4494,15592
1021,2024-08,Beverages,562084.62,6670,25997
1021,2024-08,Household,579400.7,6496,24620
1021,2024-08,Electronics,333854.82,3840,16516
1021,2024-08,Health & Beauty,273292.74,3585,14860
1021,2024-08,Home & Garden,176927.37,2107,7366
1021,2024-08,Apparel,154249.46,1691,5909
1021,2024-08,Gas Station,289498.91,6635,18445
1022,2024-08,Grocery,788516.34,8435,31767
1022,2024-08,Fresh Produce,413264.37,6204,25909
1022,2024-08,Meat & Seafood,588369.22,7893,26394
1022,2024-08,Bakery,201405.4,2457,7048
1022,2024-08,Frozen Foods,328479.15,3921,10337
1022,2024-08,Beverages,408448.14,4697,20342
1022,2024-08,Household,525580.27,6645,29228
1022,2024-08,Electronics,301948.89,3737,10351
1022,2024-08,Health & Beauty,205300.24,1991,7127
1022,2024-08,Home & Garden,131355.34,1589,6662
1022,2024-08,Apparel,122174.63,1368,4362
1022,2024-08,Gas Station,264794.73,5268,20597
1023,2024-08,Grocery,579439.39,8386,22238
1023,2024-08,Fresh Produce,287427.16,3158,12994
1023,2024-08,Meat & Seafood,442641.5,6220,16628
1023,2024-08,Bakery,161806.57,2034,8030
1023,2024-08,Frozen Foods,243749.72,2870,12360
1023,2024-08,Beverages,324682.17,4212,10964
1023,2024-08,Household,359237.24,4275,15717
1023,2024-08,Electronics,186589.97,2133,5846
1023,2024-08,Health & Beauty,145813.35,1821,4972
1023,2024-08,Home & Garden,103908.08,1178,4700
1023,2024-08,Apparel,90919.83,998,3537
1023,2024-08,Gas Station,186631.14,4685,15129
1024,2024-08,Grocery,847135.13,10045,33972
1024,2024-08,Fresh Produce,375718.16,5058,20778
